postcode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21629,110.0,129.0,91.39999999999999,90.0,85.0,,,102.0,98.0,92.0,72.0,81.9,89.2,99.7,107.66666666666667,111.0
21755,,,,,,,,111.66666666666667,103.0,104.0,103.66666666666667,103.0,112.0,107.0,112.33333333333333,108.0
27248,79.7,79.7,84.1,79.7,102.0,79.7,84.1,88.5,90.76666666666667,101.8,90.76666666666665,110.33333333333333,111.0,104.13333333333333,115.66666666666667,128.0
27333,115.0,,84.1,79.7,88.5,93.0,93.0,93.0,75.3,73.06666666666666,77.5,84.1,77.46666666666665,81.89999999999999,104.0,115.0
27628,240.33333333333334,195.0,181.66666666666666,223.66666666666666,221.0,190.0,182.0,167.0,151.83333333333334,139.5,137.83333333333334,140.5,139.8,122.93333333333334,127.16666666666667,126.0
29320,,,,,,,0.44,61.343333333333334,56.75,51.464,74.576,54.531666666666666,66.848,90.91666666666667,85.64999999999999,130.5
29485,,,,,,,,97.4,106.0,,97.4,108.33333333333333,92.96666666666665,95.2,111.0,115.0
29488,59.38666666666666,75.976,73.176,74.376,87.72000000000003,87.72000000000003,106.37600000000002,105.08800000000001,75.72,107.888,84.22,89.176,71.22,97.19200000000001,84.22,108.08000000000001
29565,100.83333333333333,96.5,110.0,135.0,111.0,82.8,94.76666666666667,81.89999999999999,97.4,97.40000000000002,120.0,102.0,99.7,113.0,111.0,99.7
31228,128.0,125.0,124.0,120.0,128.0,137.0,146.0,146.0,133.0,106.33333333333333,111.0,113.0,110.33333333333333,108.33333333333333,120.0,128.33333333333334
31603,175.0,128.66666666666666,170.5,162.0,163.5,181.0,107.76999999999998,127.14666666666669,128.3688888888889,126.3688888888889,114.70222222222225,120.70222222222225,121.14666666666669,117.91777777777777,116.87444444444446,111.91111111111111
31638,,,,,,,,88.5,97.23333333333333,97.5,84.10000000000001,79.7,88.53333333333335,102.0,111.0,117.66666666666667
38124,115.0,75.3,93.0,155.0,164.0,93.0,115.0,84.10000000000001,142.0,70.8,146.0,115.0,128.0,146.0,120.0,124.0
38176,94.275,94.3,49.8,106.0,102.0,93.0,94.2,106.28,110.73333333333333,94.01666666666667,89.52000000000001,102.16,112.8,99.67999999999999,121.8,131.66666666666666
38442,140.75,137.0,104.13333333333333,99.7,122.0,99.5,137.0,97.33333333333333,54.715999999999994,41.19,77.74000000000001,55.65666666666667,74.576,51.976,122.37600000000002,113.17600000000002
38459,159.25,137.0,,124.0,120.0,115.0,128.0,137.0,142.0,159.0,177.0,188.33333333333334,168.0,159.66666666666666,199.0,190.33333333333334
38474,,,,,,,,81.89999999999999,97.5,95.2,102.1,106.33333333333333,102.0,95.2,93.0,102.0
38542,70.8,79.1,97.7,84.1,93.0,102.0,93.0,70.83333333333333,66.39999999999999,106.16666666666667,112.08333333333333,86.93846153846152,85.40833333333335,77.5,109.75,128.25
48499,93.0,120.0,142.0,128.0,159.0,151.0,155.0,102.0,151.0,97.5,93.0,86.53333333333335,82.33333333333333,100.23333333333333,104.89999999999999,91.46666666666665
49770,,,,,,,,212.33333333333334,230.33333333333334,201.0,181.66666666666666,187.66666666666666,174.33333333333334,188.33333333333334,171.0,176.33333333333334
